"Plot Title: EH-HS02 Can"
"#","Date Time, GMT-03:00","Nível de Água, Metros (LGR S/N: 10631709, SEN S/N: 10260378)","Rain, in (LGR S/N: 10631709, SEN S/N: 10573338)","Máx.: Nível de Água, Metros (LGR S/N: 10631709)","Máx.: Chuva, in (LGR S/N: 10631709)"
366,03/22/18 05:02:30 PM,0.4524,0.000,,
367,03/22/18 05:03:00 PM,0.4524,0.000,,
368,03/22/18 05:03:30 PM,0.4524,0.000,,
369,03/22/18 05:04:00 PM,0.4524,0.000,,
370,03/22/18 05:04:30 PM,0.4524,0.000,,
371,03/22/18 05:05:00 PM,0.4524,0.000,0.4524,0.000
372,03/22/18 05:05:30 PM,0.4524,0.000,,
373,03/22/18 05:06:00 PM,0.4524,0.000,,
374,03/22/18 05:06:30 PM,0.4524,0.000,,
375,03/22/18 05:07:00 PM,0.4524,0.000,,
376,03/22/18 05:07:30 PM,0.4524,0.000,,
377,03/22/18 05:08:00 PM,0.4524,0.000,,
378,03/22/18 05:08:30 PM,0.4524,0.000,,
379,03/22/18 05:09:00 PM,0.4524,0.000,,
380,03/22/18 05:09:30 PM,0.4524,0.000,,
381,03/22/18 05:10:00 PM,0.4524,0.000,0.4524,0.000
382,03/22/18 05:10:30 PM,0.4524,0.000,,
383,03/22/18 05:11:00 PM,0.4524,0.000,,
384,03/22/18 05:11:30 PM,0.4524,0.000,,
385,03/22/18 05:12:00 PM,0.4524,0.000,,
386,03/22/18 05:12:30 PM,0.4524,0.000,,
387,03/22/18 05:13:00 PM,0.4524,0.000,,
388,03/22/18 05:13:30 PM,0.4524,0.000,,
389,03/22/18 05:14:00 PM,0.4524,0.000,,
390,03/22/18 05:14:30 PM,0.4524,0.000,,
391,03/22/18 05:15:00 PM,0.4524,0.000,0.4524,0.000
392,03/22/18 05:15:30 PM,0.4524,0.000,,
393,03/22/18 05:16:00 PM,0.4524,0.000,,
394,03/22/18 05:16:30 PM,0.4524,0.000,,
395,03/22/18 05:17:00 PM,0.4524,0.000,,
396,03/22/18 05:17:30 PM,0.4524,0.000,,
397,03/22/18 05:18:00 PM,0.4524,0.000,,
398,03/22/18 05:18:30 PM,0.4524,0.000,,
399,03/22/18 05:19:00 PM,0.4524,0.000,,
400,03/22/18 05:19:30 PM,0.4524,0.000,,
401,03/22/18 05:20:00 PM,0.4524,0.000,0.4524,0.000
402,03/22/18 05:20:30 PM,0.4524,0.000,,
403,03/22/18 05:21:00 PM,0.4524,0.000,,
404,03/22/18 05:21:30 PM,0.4524,0.000,,
405,03/22/18 05:22:00 PM,0.4524,0.000,,
406,03/22/18 05:22:30 PM,0.4524,0.000,,
407,03/22/18 05:23:00 PM,0.4524,0.000,,
408,03/22/18 05:23:30 PM,0.4524,0.000,,
409,03/22/18 05:24:00 PM,0.4524,0.000,,
410,03/22/18 05:24:30 PM,0.4524,0.000,,
411,03/22/18 05:25:00 PM,0.4524,0.000,0.4524,0.000
412,03/22/18 05:25:30 PM,0.4524,0.000,,
413,03/22/18 05:26:00 PM,0.4524,0.000,,
414,03/22/18 05:26:30 PM,0.4524,0.000,,
415,03/22/18 05:27:00 PM,0.4524,0.000,,
416,03/22/18 05:27:30 PM,0.4524,0.000,,
417,03/22/18 05:28:00 PM,0.4524,0.000,,
418,03/22/18 05:28:30 PM,0.4524,0.000,,
419,03/22/18 05:29:00 PM,0.4524,0.000,,
420,03/22/18 05:29:30 PM,0.4524,0.000,,
421,03/22/18 05:30:00 PM,0.4524,0.000,0.4524,0.000
422,03/22/18 05:30:30 PM,0.4524,0.000,,
423,03/22/18 05:31:00 PM,0.4524,0.000,,
424,03/22/18 05:31:30 PM,0.4524,0.000,,
425,03/22/18 05:32:00 PM,0.4524,0.000,,
426,03/22/18 05:32:30 PM,0.4524,0.000,,
427,03/22/18 05:33:00 PM,0.4524,0.000,,
428,03/22/18 05:33:30 PM,0.4524,0.000,,
429,03/22/18 05:34:00 PM,0.4524,0.000,,
430,03/22/18 05:34:30 PM,0.4524,0.000,,
431,03/22/18 05:35:00 PM,0.4524,0.000,0.4524,0.000
432,03/22/18 05:35:30 PM,0.4524,0.000,,
433,03/22/18 05:36:00 PM,0.4524,0.000,,
434,03/22/18 05:36:30 PM,0.4524,0.000,,
435,03/22/18 05:37:00 PM,0.4524,0.000,,
436,03/22/18 05:37:30 PM,0.4524,0.000,,
437,03/22/18 05:38:00 PM,0.4524,0.000,,
438,03/22/18 05:38:30 PM,0.4524,0.000,,
439,03/22/18 05:39:00 PM,0.4524,0.000,,
440,03/22/18 05:39:30 PM,0.4524,0.000,,
441,03/22/18 05:40:00 PM,0.4524,0.000,0.4524,0.000
442,03/22/18 05:40:30 PM,0.4524,0.000,,
443,03/22/18 05:41:00 PM,0.4524,0.000,,
444,03/22/18 05:41:30 PM,0.4524,0.000,,
445,03/22/18 05:42:00 PM,0.4524,0.000,,
446,03/22/18 05:42:30 PM,0.4524,0.000,,
447,03/22/18 05:43:00 PM,0.4524,0.000,,
448,03/22/18 05:43:30 PM,0.4524,0.000,,
449,03/22/18 05:44:00 PM,0.4524,0.000,,
450,03/22/18 05:44:30 PM,0.4524,0.000,,
451,03/22/18 05:45:00 PM,0.4524,0.000,0.4524,0.000
452,03/22/18 05:45:30 PM,0.4524,0.000,,
453,03/22/18 05:46:00 PM,0.4524,0.000,,
454,03/22/18 05:46:30 PM,0.4524,0.000,,
455,03/22/18 05:47:00 PM,0.4524,0.000,,
456,03/22/18 05:47:30 PM,0.4524,0.000,,
457,03/22/18 05:48:00 PM,0.4524,0.000,,
458,03/22/18 05:48:30 PM,0.4524,0.000,,
459,03/22/18 05:49:00 PM,0.4524,0.000,,
460,03/22/18 05:49:30 PM,0.4524,0.000,,
461,03/22/18 05:50:00 PM,0.4524,0.000,0.4524,0.000
462,03/22/18 05:50:30 PM,0.4524,0.000,,
463,03/22/18 05:51:00 PM,0.4524,0.000,,
464,03/22/18 05:51:30 PM,0.4524,0.000,,
465,03/22/18 05:52:00 PM,0.4524,0.000,,
466,03/22/18 05:52:30 PM,0.4524,0.000,,
